Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",0603,16,100nF,C14663
"C12, C16",0603,2,1uF,C15849
"C19, C20",0603,2,18pF,C1647
"FID1, FID2, FID3, FID4",Fiducial_1mm_Mask2mm,4,Fiducial,
J1,Amphenol_10156000,1,mobo_input_conn,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2874568
Q1,SOT-23,1,BC817,C2137
Q2,SOT-23,1,CJ2305,C8549
"R1, R19, R21, R22, R3, R31",0603,5,5K1,C23186
"R10, R11, R23, R4, R5, R6, R7, R8, R9",0603,9,0R,C21189
"R12, R14, R15, R16, R17, R18, R20, R24, R25, R26, R27",0603,11,1K,C21190
"R13, R2",0805,2,0R,C17477
R30,0805,1,FB,C1011
"R28, R29",0402,2,22R,C25092
RN2,R_Array_Concave_4x0603,1,4.7K,C1980
U1,SO-16_3.9x9.9mm_P1.27mm,1,SL2.1A,C192893
U2,SOT-223-3_TabPin2,1,AP1117-33,C5400
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C179173
U4,RP2040-QFN-56,1,RP2040,C2040
U5,SO-16_3.9x9.9mm_P1.27mm,1,74HC595,C2927048
Y1,Crystal_HC49-U_Vertical,1,12MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C258938
Y3,Crystal_SMD_HC49-SD,1,12MHz,C108151
