"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_1206_HandSoldering";2;"47uF";;;
2;"C3,C4";"C_0603_HandSoldering";2;"33nF";;;
3;"C5";"C_0603_HandSoldering";1;"470pF";;;
4;"C6";"C_0805_HandSoldering";1;"2.2uF";;;
5;"C7";"C_0805_HandSoldering";1;"100nF";;;
6;"R1,R2";"R_0603_HandSoldering";2;"1.8K";;;
7;"R3,R4";"R_0603_HandSoldering";2;"150R";;;
8;"R5,R6";"R_0603_HandSoldering";2;"270R";;;
9;"R7,R8";"R_0603_HandSoldering";2;"470R";;;
10;"R9,R10";"R_0603_HandSoldering";2;"100R";;;
11;"TP1";"Measurement_Point_Round-TH_Small";1;"L_OUT";;;
12;"TP2,TP5,TP8";"Measurement_Point_Square-TH_Small";3;"GND";;;
13;"TP3";"Measurement_Point_Round-TH_Small";1;"R_OUT";;;
14;"TP4";"Measurement_Point_Round-TH_Small";1;"LIN_FIL";;;
15;"TP6";"Measurement_Point_Round-TH_Small";1;"RIN_FIL";;;
16;"TP7";"Measurement_Point_Round-TH_Small";1;"LIN";;;
17;"TP9";"Measurement_Point_Round-TH_Small";1;"RIN";;;
18;"TP10";"Measurement_Point_Round-SMD-Pad_Small";1;"3V3";;;
19;"TP11";"Measurement_Point_Round-SMD-Pad_Small";1;"GND";;;
20;"TP12";"Measurement_Point_Round-TH_Small";1;"V   +";;;
21;"U1";"SOT-23-5";1;"MIC5219-3.3BM5";;;
22;"U2";"SOT-363_SC-70-6_Handsoldering";1;"NC7WZ16";;;
